video,num_fish,species_id,timeframe,sex,timeframe,adipose_clip,timeframe,floy_tag,timeframe,injury,timeframe,id_person,confidence_level,note
09-23-2019 20-16-34 M Right Bank Underwater,1,chum,,male,,no,,no,,NA,,STB,3,watched it 10 times
09-24-2019 21-32-44 M Right Bank Underwater,3,chum,0:00:14,male,0:00:14,no,0:00:16,NA,NA,no,,STB,3,"pink till 00:00:14, unknown fish (coho?) at 00:01:55"
09-23-2019 22 -42-18 M Right Bank Underwater,1,chum,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:06,STB,3,
09-25-2019 00-30-56 M Right Bank Underwater,2,chum,0:00:02,male,0:00:02,no,0:00:03,NA,NA,no,0:00:07,STB,3,coho hidden at the beginning
09-25-2019 00-46-14 M Right Bank Underwater,1,coho,0:00:12,male,0:00:12,no,0:00:12,NA,NA,no,0:00:12,STB,2,potentially a female? Small hooked mouth
08-12-2019 14-37-05 M Right Bank Underwater,1,pink,0:00:03,male,0:00:03,no,0:00:04,NA,NA,no,0:00:05,STB,3,
08-12-2019 14-37-45  M Right Bank Underwater,1,pink,0:00:06,male,0:00:04,no,0:00:08,NA,NA,no,0:00:08,STB,3,
09-24-2019 07-14-28 M Right Bank Underwater,1,sockeye,0:00:05,female,0:00:05,no,0:00:05,NA,NA,no,0:00:08,STB,2,
09-24-2019 23-32-05  M Right Bank Underwater,1,sockeye,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
10-07-2019 09-51-41 M Right Bank Underwater,1,sockeye,0:00:12,male,0:00:12,no,0:00:12,NA,NA,no,0:00:12,STB,3,
09-23-2019 20-22-58 M Right Bank Underwater,1,coho,0:00:13,female,0:00:13,no,0:00:13,NA,NA,no,0:00:13,STB,2,
09-24-2019 06-47-09 M Right Bank Underwater,1,coho,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
09-24-2019 07-42-52 M Right Bank Underwater,1,coho,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
09-24-2019 23-04-35 M Right Bank Underwater,1,coho,0:00:10,male,0:00:10,no,0:00:10,NA,NA,no,0:00:10,STB,3,
09-24-2019 23-10-45 M Right Bank Underwater,1,coho,0:00:06,male,0:00:06,no,0:00:06,NA,NA,yes,0:00:05,STB,3,
09-24-2019 23-53-29 M Right Bank Underwater,1,coho,0:00:06,male,0:00:06,no,0:00:06,NA,NA,yes,0:00:28,STB,3,
09-24-2019 00-17-24 M Right Bank Underwater,1,coho,0:00:09,male,0:00:09,no,0:00:04,NA,NA,no,0:00:09,STB,3,
10-24-2019 15-17-47 M Right Bank Underwater,1,coho,0:00:14,male,0:00:14,no,0:00:14,NA,NA,no,0:00:14,STB,2,very big and dark for a coho
08-12-2019 14-32-39 M Right Bank Underwater,1,pink,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
08-12-2019 10-15-12 M Underwater Bank,1,pink,0:00:11,male,0:00:11,no,0:00:11,NA,NA,NA,,STB,3,
08-12-2019 14-30-31,1,pink,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
08-12-2019 14-30-37,1,pink,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
08-12-2019 14-31-30,1,pink,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
09-25-2019 00-14-04,1,coho,0:00:01,male,0:00:01,no,0:00:02,NA,NA,no,0:00:03,STB,3,
09-25-2019 00-26-48,1,coho,0:00:03,female,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
09-25-2019 00-29-36,1,chum,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
09-25-2019 0:30:33,1,coho,0:00:03,jack,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,1,jack?
09-25-2019 00-33-40,1,coho,0:00:16,female,0:00:17,no,0:00:17,NA,NA,no,0:00:17,STB,2,sex
09-25-2019 00-33-48,1,coho,0:00:05,male,0:00:05,no,0:00:05,NA,NA,maybe,0:00:07,STB,3,white mark eye
09-25-2019 00-13-58,1,coho,0:00:04,male,0:00:04,no,0:00:04,NA,NA,maybe,,STB,3,white mark eye
09-25-2019 00-15-41,1,coho,0:00:14,female,0:00:14,no,0:00:14,NA,NA,no,0:00:14,STB,2,sex
09-25-2019 00-30-18,1,coho,0:00:05,male,0:00:05,no,0:00:05,NA,NA,no,0:00:05,STB,3,
2019-10-07 10-26-37,1,steelhead,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,sex
2019-10-07 18-00-29 Right Bank,1,coho,0:00:20,male,0:00:20,no,0:00:20,NA,NA,no,0:00:20,STB,1,species;sockeye?
2019-08-10 11-44-43 Right Bank,1,pink,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-08-10 11-45-10 Right Bank,1,pink,0:00:04,male,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-08-10 11-46-37 Right Bank,1,pink,0:00:06,male,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-08-10 11-47-09 Right Bank,1,pink,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-08-10 11-50-58 Right Bank,2,pink,0:00:19,male,0:00:19,no,0:00:19,NA,NA,no,0:00:19,STB,3,female at the beginning
2019-08-10 11-52-12 Right Bank,1,pink,0:00:08,male,0:00:08,no,0:00:08,NA,NA,no,0:00:08,STB,3,
2019-08-10 11-59-32 Right Bank,1,pink,0:00:04,jack,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,2,male?
2019-08-10 11-59-34 Right Bank,1,pink,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,female? Hump pretty small
2019-08-10 12-00-10 Right Bank,1,pink,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
2019-08-10 12-01-19 Right Bank,1,pink,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
2019-08-10 12-02-02 Right Bank,1,pink,0:00:08,male,0:00:08,no,0:00:08,NA,NA,no,0:00:08,STB,3,
2019-08-10 12-03-26 Right Bank,1,pink,0:00:03,male,0:00:03,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-08-10 12-06-21 Right Bank,1,pink,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
2019-08-10 12-11-34 Right Bank,1,pink,0:00:05,female,0:00:05,no,0:00:05,NA,NA,no,0:00:05,STB,2,small humpy male?
2019-08-10 12-12-11 Right Bank,1,pink,0:00:05,female,0:00:05,no,0:00:05,NA,NA,no,0:00:05,STB,3,
2019-08-10 12-14-05 Right Bank,1,pink,0:00:03,female,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,3,
2019-08-10 12-14-10 Right Bank,1,pink,0:00:04,female,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-08-10 12-24-00,1,pink,0:00:05,male,0:00:05,no,0:00:05,NA,NA,no,0:00:05,STB,3,
2019-08-10 12-26-26 Right Bank,1,pink,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-09-23 14-19-48,1,pink,0:00:01,jack,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,2,male?
2019-10-07 18-02-20 Right Bank,1,coho,0:00:24,female,0:00:25,yes,0:00:24,NA,NA,no,0:00:28,WIA,3,
2019-10-07 18-02-25,1,coho,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:04,WIA,3,
2019-10-07 18-06-42 Right Bank,1,coho,0:00:01,female,0:00:01,no,0:00:01,NA,NA,no,0:00:13,WIA,3,
2019-10-07 23-11-11 Left Bank Underwater,1,coho,0:00:01,female,0:00:01,no,0:00:04,NA,NA,NA,NA,WIA,3,
2019-10-22 17-24-11 Right Bank,1,coho,0:00:01,female,0:00:01,no,0:00:02,NA,NA,no,0:00:03,STB,3,
2019-10-22 17-28-36 Right Bank,1,NA,,,,,,,,,,,,"trout? whitefish? has adipose fin, so salmonidae"
2019-10-22 17-34-08 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-22 17-35-15 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,yes,0:00:02,STB,3,head 
2019-10-22 17-36-39 Right Bank,1,coho,0:00:03,male,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,2,small for a male
2019-10-22 17-55-49 Right Bank,1,coho,0:00:02,female,0:00:08,no,0:00:04,NA,NA,yes,0:00:08,STB,2,snout 
2019-10-22 17-57-46 Right Bank,1,coho,0:00:04,female,0:00:04,no,0:00:04,NA,NA,no,0:00:04,STB,3,
2019-10-22 18-00-51 Right Bank,1,coho,0:00:08,male,0:00:08,no,0:00:08,NA,NA,no,0:00:08,STB,3,
2019-10-22 18-16-32 Right Bank,1,coho,0:00:02,male,0:00:02,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-10-22 18-30-10 Right Bank,1,coho,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-22 18-35-11 Right Bank,1,steelhead,0:00:02,female,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,1,species ?!?!
2019-10-21 18-56-44 Right Bank,1,sockeye,0:00:02,female,0:00:02,no,0:00:02,NA,NA,maybe,0:00:02,STB,2,mouth bleeding? sex?
2019-10-21 19-04-54 Right Bank,1,steelhead,0:00:03,female,0:00:03,no,0:00:03,NA,NA,no,0:00:02,STB,1,trout? steelhead?
2019-10-21 19-33-21 Right Bank,1,coho,0:00:03,female,0:00:03,no,0:00:03,NA,NA,yes,0:00:03,STB,3,head half missing
2019-10-07 18-05-44 Right Bank,1,coho,0:00:04,female,0:00:04,no,0:00:04,NA,NA,no,0:00:07,STB,3,
2019-10-07 18-06-42 Right Bank,1,coho,0:00:06,female,0:00:06,no,0:00:06,NA,NA,no,0:00:08,STB,3,
2019-10-07 18-12-25 Right Bank,1,coho,0:00:08,female,0:00:08,no,0:00:08,NA,NA,yes,0:00:08,STB,3,tail
2019-10-07 18-18-49 Right Bank,1,sockeye,0:00:01,male,0:00:02,no,0:00:02,NA,NA,no,0:00:02,STB,3,
2019-10-07 18-13-47 Rigth Bank,1,coho,0:00:02,male,0:00:02,no,0:00:02,NA,NA,no,0:00:03,STB,3,
2019-10-07 18-20-06 Right Bank,1,coho,0:00:07,male,0:00:02,no,0:00:07,NA,NA,no,0:00:07,STB,3,
2019-10-07 18-31-58 Right Bank,1,coho,00:00:03,male,00:00:03,no,0:00:06,NA,NA,no,0:00:06,STB,3,
2019-10-07 18-31-59 Right Bank,1,steelhead,0:00:02,male,0:00:03,no,0:00:03,NA,NA,no,0:00:03,STB,2,sex
2019-10-07 18-32-04 Right Bank,1,coho,0:00:07,male,0:00:07,no,0:00:07,NA,NA,no,0:00:07,STB,3,
2019-10-07 18-35-55 Right Bank,1,coho,0:00:15,male,0:00:15,no,0:00:15,NA,NA,no,0:00:15,STB,3,
2019-10-07 18-41-17 Right Bank,1,coho,0:00:08,female,0:00:06,no,0:00:15,NA,NA,no,0:00:15,STB,3,
2019-10-07 18-41-33 Right Bank,1,coho,0:00:01,male,0:00:01,no,0:00:01,NA,NA,no,0:00:01,STB,3,
