best_weights,epoch,lr/pg0,lr/pg1,lr/pg2,metric_name,metric_value,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),results_csv,train/box_loss,train/cls_loss,train/dfl_loss,trial,val/box_loss,val/cls_loss,val/dfl_loss
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune22/weights/best.pt,30,0.0113293,0.00377642,0.0113293,metrics/mAP50-95(B),0.45841,0.69264,0.45841,0.70388,0.69952,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune22/results.csv,1.1194,2.84224,1.32566,tune22,1.24001,4.43412,1.28123
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune5/weights/best.pt,30,0.00363667,0.00121222,0.00363667,metrics/mAP50-95(B),0.45758,0.69735,0.45758,0.6724,0.66381,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune5/results.csv,0.81078,2.8852,0.7281,tune5,0.92388,5.09787,0.70759
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune24/weights/best.pt,30,0.00585439,0.00195146,0.00585439,metrics/mAP50-95(B),0.4542,0.69336,0.4542,0.71531,0.66415,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune24/results.csv,1.29393,1.79156,1.62339,tune24,1.49626,3.57503,1.56918
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune30/weights/best.pt,30,0.00511421,0.00170474,0.00511421,metrics/mAP50-95(B),0.45259,0.67007,0.45259,0.64071,0.67835,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune30/results.csv,0.76282,1.21486,2.01569,tune30,0.89961,2.09245,1.99033
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune7/weights/best.pt,30,0.01409,0.00469667,0.01409,metrics/mAP50-95(B),0.45108,0.6892,0.45108,0.62405,0.68752,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune7/results.csv,0.99734,1.65792,2.15736,tune7,1.09476,2.50902,2.04411
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune8/weights/best.pt,30,0.00419508,0.00139836,0.00419508,metrics/mAP50-95(B),0.45105,0.6782,0.45105,0.64124,0.70064,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune8/results.csv,0.78462,0.90047,0.85492,tune8,0.94739,1.73669,0.85582
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune35/weights/best.pt,30,0.00433472,0.00144491,0.00433472,metrics/mAP50-95(B),0.44964,0.68887,0.44964,0.68578,0.68256,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune35/results.csv,0.6725,3.52094,1.78404,tune35,0.76737,6.05155,1.74189
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune38/weights/best.pt,30,0.0140353,0.00467844,0.0140353,metrics/mAP50-95(B),0.44924,0.66765,0.44924,0.641,0.67127,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune38/results.csv,1.4431,2.4225,1.68655,tune38,1.6806,4.18462,1.63971
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune13/weights/best.pt,30,0.0133817,0.00446056,0.0133817,metrics/mAP50-95(B),0.44884,0.67658,0.44884,0.61763,0.69216,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune13/results.csv,0.71001,1.14776,1.6221,tune13,0.81072,1.87887,1.56855
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune17/weights/best.pt,30,0.0150182,0.00500606,0.0150182,metrics/mAP50-95(B),0.44875,0.68747,0.44875,0.73425,0.66888,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune17/results.csv,1.45381,2.74078,2.1002,tune17,1.61172,4.40511,2.00947
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune34/weights/best.pt,30,0.00830671,0.0027689,0.00830671,metrics/mAP50-95(B),0.44832,0.68307,0.44832,0.72597,0.68372,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune34/results.csv,1.09681,2.35278,0.75221,tune34,1.22758,4.73035,0.7311
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune39/weights/best.pt,30,0.00389663,0.00129888,0.00389663,metrics/mAP50-95(B),0.445,0.68737,0.445,0.66236,0.68596,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune39/results.csv,1.07456,3.39282,0.67562,tune39,1.20195,5.69591,0.65802
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune16/weights/best.pt,30,0.00186166,0.000620552,0.00186166,metrics/mAP50-95(B),0.44442,0.66863,0.44442,0.70779,0.64673,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune16/results.csv,1.24251,0.76045,1.59663,tune16,1.44376,1.43406,1.55841
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune10/weights/best.pt,30,0.00864003,0.00288001,0.00864003,metrics/mAP50-95(B),0.44426,0.66252,0.44426,0.66182,0.66226,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune10/results.csv,0.69069,1.2047,1.13409,tune10,0.79489,2.24315,1.12334
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune12/weights/best.pt,30,0.00423787,0.00141262,0.00423787,metrics/mAP50-95(B),0.4425,0.68217,0.4425,0.6589,0.66392,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune12/results.csv,0.66559,2.12684,1.0431,tune12,0.75697,3.50878,1.01124
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune40/weights/best.pt,30,0.0132894,0.0044298,0.0132894,metrics/mAP50-95(B),0.44239,0.67064,0.44239,0.66718,0.70088,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune40/results.csv,1.00747,1.45446,1.37596,tune40,1.10711,2.3938,1.32482
data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune23/weights/best.pt,30,0.0100673,0.00335575,0.0100673,metrics/mAP50-95(B),0.44237,0.68255,0.44237,0.60997,0.70199,data/04_dataset/salmon_dataset/tuning/yolov8n_small/tune23/results.csv,1.06656,2.5987,0.45521,tune23,1.15773,3.93807,0.44088
